"","Line","SumOfTotal","...3","Miles","Time","Line_Group","In","Out","Total","Pay Time","Terminal","hc.Clusters.2","hc.Clusters.3","hc.Clusters.4","hc.Clusters.5"
"1","A-MU - Regular",NA,"A",10.7,NA,"A",7.36021505376344,6.75268817204301,14.247311827957,0.825591397849462,0,"1","1","1","1"
"2","B - Regular",14981,"B",4.1,0.333333333333333,"B",7.74751491053678,7.01491053677932,14.7852882703777,0.351166335321405,1,"1","2","2","2"
"3","C - Regular",12691,"C",3.3,0.333333333333333,"C",9.3728813559322,7.30803242446573,16.6845983787767,0.3410243183493,0,"1","2","2","2"
"4","D - Inbound Tripper",1264,"D",3.9,NA,"D",9,4.25,13.25,0.4575,0,"1","2","2","2"
"5","D - Regular",38041,"D",6.4,0.416666666666667,"D",9.00515843773029,10.2881355932203,19.2966101694915,0.427730287398674,0,"1","2","2","2"
"6","E - Regular",16424,"E",4.6,0.416666666666667,"E",6.97225077081192,5.58684480986639,12.5817060637205,0.422548818088386,1,"1","2","2","2"
"7","F - Regular",10350,"F",5.9,0.416666666666667,"F",6.04747474747475,6.08787878787879,12.1459595959596,0.422323232323232,1,"1","2","2","2"
"8","FMS - Farmer's Market",NA,"FMS",2.2,0.333,"FMS",1.8169014084507,1.6056338028169,3.46478873239437,0.323239436619718,1,"1","2","2","2"
"9","G-EX - Express",NA,"G",5.1,NA,"G",26.2,6.6,32.8,0.42,1,"2","3","3","3"
"10","G - Inbound Tripper",2137,"G",2.5,NA,"G",13.7952755905512,0.700787401574803,14.503937007874,0.314173228346457,1,"1","2","2","2"
"11","G - Regular",44579,"G",5.1,0.5,"G",14.1362111384478,14.316036680832,28.4782997762864,0.458320286289421,1,"2","3","3","3"
"12","G - To N. Sycamore Loop",NA,"G",2.5,NA,"G",0,16,16,0.17,1,"1","2","2","2"
"13","J-EX - Express",5602,"J",6.2,NA,"J",24.375,11.25,35.625,0.5,0,"2","3","3","3"
"14","J - Inbound from N. Sycamore",890,"J",2.9,NA,"J",18.5483870967742,0.193548387096774,18.741935483871,0.47,0,"1","2","2","2"
"15","J - Inbound Tripper",4087,"J",2.9,NA,"J",22.3537906137184,0.819494584837545,23.1768953068592,0.290938628158845,0,"1","2","2","2"
"16","J - Regular",69471,"J",5.8,0.5,"J",15.2288998357964,18.5185550082102,33.7586206896552,0.487448275862069,0,"2","3","3","3"
"17","J - To N. Syc Loop",NA,"J",2.9,NA,"J",0,1,1,0.2,0,"1","2","2","2"
"18","K - Regular",14386,"K",5.6,0.416666666666667,"K",9.99668282725185,9.49706557795356,19.5008930849707,0.421615207961215,1,"1","2","2","2"
"19","L-MU - Regular",11968.8,"L",7.4370652248,NA,"L",1.8563829787234,2.84574468085106,4.75,0.825159574468085,0,"1","1","1","1"
"20","L - Regular",17190,"L",8.5,0.833333333333333,"L",1,0,1,0.42,0,"1","1","1","1"
"21","M - Regular",16359,"M",4.8,0.416666666666667,"M",7.84295845997974,7.15856129685917,15.0364741641337,0.421534954407295,1,"1","2","2","2"
"22","O - Weekend",4024,"O",9.69,0.666666666666667,"O",13.6026315789474,16.1263157894737,29.875,0.823513157894737,1,"1","1","1","4"
"23","P - From F /Covell",NA,"P",5.8,NA,"P",8.67213114754098,1.04918032786885,9.90163934426229,0.47655737704918,1,"1","1","1","1"
"24","P - Inbound Tripper",2055,"P",5.2,NA,"P",9.28174603174603,0.976190476190476,10.2777777777778,0.435436507936508,1,"1","1","1","1"
"25","P - Regular",20977,"P",13.7,0.833333333333333,"P",12.7099381835473,11.7344270090347,24.5663338088445,0.842662862577271,1,"1","1","1","4"
"26","P - To F/Covell",NA,"P",7.3,NA,"P",0.5,2.64285714285714,3.14285714285714,0.553571428571429,1,"1","1","1","1"
"27","Q - From F /Covell",NA,"Q",7.3,NA,"Q",5.62264150943396,0.528301886792453,6.16981132075472,0.5,1,"1","1","1","1"
"28","Q - Inbound Tripper",1084,"Q",8.3,NA,"Q",11.34,0.02,11.38,0.5,1,"1","1","1","1"
"29","Q - Regular",23073,"Q",13.7,0.833333333333333,"Q",9.95299952763344,15.0186584789797,25.0623523854511,0.850342465753425,1,"1","1","1","4"
"30","Q - To F and Covell",NA,"Q",5.8,NA,"Q",0,13,13,0.33,1,"1","2","2","2"
"31","Q - To F/Covell",11,"Q",5.8,NA,"Q",0.0526315789473684,3.15789473684211,3.21052631578947,0.551578947368421,1,"1","1","1","1"
"32","V-EX - Express",NA,"V",3.4,NA,"V",29.167450611477,29.1411100658514,58.379115710254,0.335446848541863,1,"2","3","4","5"
"33","V-LT - Limited",NA,"V",3.1,NA,"V",20.2885572139303,16.3582089552239,36.6507462686567,0.349253731343284,1,"2","3","3","3"
"34","V-MU - Regular",NA,"V",4.9,NA,"V",16.2574320050601,12.2624920936116,28.5819101834282,0.35943706514864,1,"2","3","3","3"
"35","V - Inbound Tripper",57,"V",1.7,NA,"V",37.1271929824561,0.43859649122807,37.609649122807,0.347368421052632,1,"2","3","3","3"
"36","V - Regular",46216,"V",3.4,0.333333333333333,"V",28.0249244712991,30.0494712990937,58.1344410876133,0.358931268882175,1,"2","3","4","5"
"37","V - To 2080 Sol",NA,"V",1.72,NA,"V",20,18,38,0.42,1,"2","3","3","3"
"38","W-EX - Express",5779,"W",4.2,NA,"W",0,10.5,10.5,0.5,0,"1","2","2","2"
"39","W - From Cowell/Valdora OB",478,"W",1.8,NA,"W",10,0.695652173913043,10.695652173913,0.57,0,"1","2","2","2"
"40","W - From Drummond/Albany",NA,"W",2.9,NA,"W",5.6046511627907,0.162790697674419,5.76744186046512,0.482093023255814,0,"1","2","2","2"
"41","W - Inbound Tripper",7115,"W",1.8,NA,"W",23.5587301587302,0.155555555555556,23.7142857142857,0.262444444444444,0,"1","2","2","2"
"42","W - Regular",60178,"W",5.4,0.5,"W",10.3487881981033,14.6733403582719,25.0337197049526,0.493354408148929,0,"2","3","3","3"
"43","W - To Cowell/Valdora IB",NA,"W",1.8,NA,"W",33,0,33,0.25,0,"2","3","3","3"
"44","W - To Drummond/Albany",NA,"W",2.54,NA,"W",0,2,2,0.18,0,"1","2","2","2"
"45","Z - Regular",4948,"Z",8.5,0.75,"Z",12.7002301495972,12.698504027618,25.4988492520138,0.683716915995397,1,"1","1","1","4"
